NAME                2012 BOY RANK  2012 GIRL RANK 2022 BOY RANK  2022 GIRL RANK 
Conrad              738            -              574            -              
Cooper              83             -              53             -              
Cora                -              155            -              75             
Coraline            -              823            -              676            
Corbin              221            -              428            -              
Corey               351            -              633            -              
Corinne             -              765            -              -              
Cory                650            -              -              -              
Courtney            -              481            -              -              
Craig               781            -              -              -              
Creed               -              -              651            -              
Crew                768            -              254            -              
Cristian            217            -              322            -              
Cristina            -              953            -              -              
Cristopher          784            -              -              -              
Crosby              670            -              -              -              
Crue                -              -              868            -              
Cruz                284            -              317            -              
Crystal             -              384            -              -              
Cullen              551            -              908            -              
Curtis              442            -              825            -              
Cynthia             -              419            -              888            
Cyrus               471            -              326            -              
Dahlia              -              521            -              280            
Daisy               -              172            -              125            
Dakari              -              -              786            -              
Dakota              334            306            349            258            
Daleyza             -              -              -              423            
Dalia               -              -              -              827            
Dalilah             -              990            -              -              
Dallas              322            901            253            645            
Dalton              285            -              516            -              
Damari              868            -              876            -              
Damarion            895            -              -              -              
Damian              97             -              108            -              
Damien              218            -              304            -              
Damion              939            -              -              -              
Damir               -              -              887            -              
Damon               406            -              424            -              
Dana                -              627            -              -              
Dane                477            -              875            -              
Dangelo             1000           -              940            -              
Dani                -              -              -              674            
Danica              -              511            -              -              
Daniel              11             -              14             -              
Daniela             -              191            -              255            
Daniella            -              309            -              449            
Danielle            -              232            -              474            
Danika              -              683            -              -              
Danna               -              490            -              353            
Danny               384            -              611            -              
Dante               278            -              311            -              
Daphne              -              420            -              278            
Darian              737            -              974            -              
Dariel              945            -              435            -              
Darien              959            -              -              -              
Dario               922            -              675            -              
Darius              403            -              678            -              
Darnell             982            -              -              -              
Darrell             787            -              -              -              
Darren              423            -              852            -              
Darryl              946            -              -              -              
Darwin              856            -              987            -              
Dash                -              -              827            -              
Davian              777            -              967            -              
David               19             -              31             -              
Davin               769            -              -              -              
Davina              -              -              -              563            
Davion              647            -              -              -              
Davis               416            -              631            -              
Davon               956            -              -              -              
Dawson              315            -              183            -              
Dax                 634            -              444            -              
Daxton              620            -              334            -              
Dayana              -              441            -              547            
Dayton              603            -              -              -              
Deacon              679            -              515            -              
Dean                260            -              163            -              
Deandre             511            -              -              -              
Deangelo            869            -              -              -              
Deanna              -              916            -              -              
Deborah             -              797            -              918            
Declan              143            -              114            -              
Deegan              926            -              -              -              
Delaney             -              257            -              242            
Delilah             -              154            -              58             
Della               -              -              -              657            
Demarcus            950            -              -              -              
Demetrius           618            -              979            -              
Demi                -              795            -              400            
Denise              -              684            -              -              
Dennis              427            -              653            -              
Denver              -              -              480            860            
Denzel              994            -              -              -              
Deon                985            -              -              -              
Derek               182            -              298            -              
Derick              907            -              -              -              
Derrick             313            -              715            -              
Deshawn             757            -              -              -              
Desiree             -              616            -              -              
Desmond             339            -              363            -              
Destinee            -              792            -              -              
Destiny             -              113            -              391            
Devan               986            -              -              -              
Devin               173            -              423            -              
Devon               397            -              837            -              
Devyn               -              991            -              -              
Dexter              362            -              692            -              
Diamond             -              786            -              -              
Diana               -              251            -              228            
Diego               110            -              124            -              
Dilan               -              -              818            -              
Dillon              354            -              726            -              
Dion                -              -              903            -              
Dior                -              -              840            641            
Dixie               -              852            -              -              
Dominic             70             -              102            -              
Dominick            262            -              527            -              
Dominik             501            -              -              -              
Dominique           801            -              -              -              
Donald              400            -              676            -              
Donovan             275            -              446            -              
Donte               914            -              -              -              
Dorian              558            -              565            -              
Dorothy             -              922            -              487            
Douglas             572            -              828            -              
Drake               231            -              630            -              
Draven              763            -              -              -              
Dream               -              -              -              336            
Drew                282            -              523            840            
Duke                -              -              679            -              
Dulce               -              574            -              784            
Duncan              835            -              924            -              
Dustin              377            -              632            -              
Dutton              -              -              835            -              
Dwayne              739            -              -              -              
Dylan               31             512            41             576            
Ean                 876            -              -              -              
Easton              96             -              80             -              
Eddie               544            -              829            -              
Eden                677            164            411            117            
Edgar               268            -              418            -              
Edison              753            -              740            -              
Edith               -              762            -              513            
Eduardo             204            -              340            -              
Edward              157            -              216            -              
Edwin               271            -              358            -              
Efrain              881            -              -              -              
Egypt               -              -              -              961            
Eileen              -              824            -              621            
Eithan              -              -              500            -              
Elaina              -              337            -              254            
Elaine              -              704            -              465            
Eleanor             -              135            -              16             
Elena               -              139            -              49             
Eli                 44             -              69             -              
Elia                -              -              -              931            
Eliam               -              -              672            -              
Elian               843            -              300            -              
Eliana              -              145            -              41             
Elianna             -              732            -              334            
Elias               114            -              43             -              
Eliel               -              -              810            -              
Elijah              13             -              5              -              
Elin                -              798            -              -              
Elina               -              -              -              853            
Elio                -              -              877            -              
Eliot               935            -              -              -              
Elisa               -              366            -              408            
Elisabeth           -              617            -              973            
Elise               -              151            -              259            
Eliseo              940            -              685            -              
Elisha              732            -              822            -              
Elissa              -              888            -              -              
Eliza               -              225            -              122            
Elizabeth           -              10             -              15             
Ella                -              12             -              25             
Elle                -              383            -              392            
Ellen               -              745            -              -              
Elliana             -              300            -              131            
Ellianna            -              -              -              668            
Ellie               -              84             -              33             
Elliot              242            862            150            788            
Elliott             277            -              168            628            
Ellis               612            -              307            698            
Elodie              -              -              -              690            
Eloise              -              364            -              86             
Elora               -              -              -              515            
Elowyn              -              -              -              877            
Elsa                -              551            -              994            
Elsie               -              397            -              188            
Elyse               -              527            -              817            
Emanuel             306            -              461            -              
Ember               -              580            -              160            
Emberly             -              -              -              598            
Emberlynn           -              -              -              908            
Emelia              -              688            -              520            
Emely               -              393            -              446            
Emerald             -              -              -              768            
Emerie              -              -              -              588            
Emerson             364            244            271            170            
Emersyn             -              622            -              134            
Emery               655            211            727            82             
Emilee              -              542            -              -              
Emilia              -              268            -              44             
Emiliana            -              -              -              995            
Emiliano            302            -              152            -              
Emilie              -              733            -              -              
Emilio              297            -              198            -              
Emily               -              6              -              17             
Emir                -              -              616            -              
Emma                -              2              -              2              
Emmalee             -              805            -              -              
Emmaline            -              890            -              -              
Emmalyn             -              505            -              880            
Emmalynn            -              910            -              -              
Emmanuel            165            -              170            -              
Emmeline            -              -              -              985            
Emmett              186            -              115            -              
Emmie               -              -              -              736            
Emmitt              659            -              599            -              
Emmy                -              716            -              507            
Emory               983            881            845            466            
Enoch               -              -              814            -              
Enrique             369            -              542            -              
Ensley              -              -              -              828            
Enzo                417            -              121            -              
Eren                -              -              952            -              
Eric                107            -              229            -              
Erica               -              506            -              -              
Erick               236            -              321            -              
Erik                289            -              432            -              
Erika               -              539            -              -              
Erin                -              262            -              685            
Ermias              -              -              893            -              
Ernest              915            -              -              -              
Ernesto             541            -              869            -              
Esme                -              977            -              307            
Esmeralda           -              358            -              371            
Esteban             389            -              431            -              
Estella             -              882            -              498            
Estelle             -              950            -              723            
Esther              -              242            -              139            
Estrella            -              562            -              677            
Ethan               3              -              21             -              
Eugene              740            -              934            -              
Eva                 -              86             -              108            
Evalyn              -              927            -              -              
Evan                47             -              134            -              
Evander             -              -              823            -              
Evangeline          -              292            -              268            
Eve                 -              558            -              554            
Evelyn              -              27             -              9              
Evelynn             -              554            -              333            
Everest             -              -              832            -              
Everett             214            -              81             -              
Everlee             -              -              -              362            
Everleigh           -              -              -              99             
Everly              -              907            -              57             
Evie                -              602            -              275            
Ezekiel             198            -              49             -              
Ezequiel            515            -              332            -              
Ezra                184            -              25             648            
Ezrah               -              -              941            -              
Fabian              298            -              457            -              
Faith               -              75             -              191            
Fallon              -              -              -              714            
Farrah              -              552            -              -              
Fatima              -              302            -              352            
Faye                -              -              -              564            
Felicity            -              653            -              457            
Felipe              675            -              846            -              
Felix               316            -              192            -              
Fernanda            -              376            -              458            
Fernando            243            -              342            -              
Finley              547            349            282            218            
Finn                291            -              176            -              
Finnegan            491            -              447            -              
Finnley             -              -              595            -              
Fiona               -              209            -              357            
Fisher              831            -              890            -              
Fletcher            791            -              677            -              
Flora               -              -              -              726            
Florence            -              -              -              622            
Flynn               692            -              712            -              
Ford                -              -              473            -              
Forest              -              -              706            -              
Forrest             -              -              402            -              
Foster              995            -              -              -              
Frances             -              764            -              418            
Francesca           -              486            -              387            
Francis             593            -              462            -              
Francisco           225            -              288            -              
Franco              977            -              838            -              
Frank               319            -              439            -              
Frankie             877            -              -              545            
Franklin            528            -              408            -              
Freddy              913            -              -              -              
Frederick           536            -              474            -              
Freya               -              -              -              129            
Freyja              -              -              -              633            
Gabriel             24             -              36             -              
Gabriela            -              201            -              339            
Gabriella           -              37             -              89             
Gabrielle           -              129            -              499            
Gael                146            -              104            -              
Gage                172            -              649            -              
Gaige               975            -              -              -              
Galilea             -              746            -              731            
Garrett             213            -              463            -              
Gary                533            -              961            -              
Gatlin              -              -              724            -              
Gauge               741            -              -              -              
Gavin               40             -              206            -              
Gavyn               813            -              -              -              
Gemma               -              317            -              197            
Genesis             -              56             -              65             
Genevieve           -              228            -              165            
George              166            -              142            -              
Georgia             -              298            -              162            
Georgina            -              -              -              878            
Gerald              686            -              -              -              
Geraldine           -              992            -              -              
Gerardo             371            -              581            -              
Gia                 -              332            -              267            
Giada               -              819            -              -              
Gian                -              -              921            -              
Giana               -              606            -              898            
Giancarlo           808            -              -              -              
Gianna              -              73             -              22             
Gianni              449            -              379            -              
Gibson              853            -              -              -              
Gideon              390            -              333            -              
Gilbert             996            -              -              -              
Gilberto            909            -              -              -              
Giovani             638            -              -              -              
Giovanna            -              878            -              936            
Giovanni            119            -              122            -              
Giovanny            765            -              -              -              
Giselle             -              183            -              351            
Gisselle            -              980            -              -              
Giuliana            -              296            -              852            
Gloria              -              522            -              631            
Goldie              -              -              -              813            
Gordon              -              -              968            -              
Grace               -              21             -              35             
Gracelyn            -              507            -              414            
Gracelynn           -              615            -              359            
Gracie              -              158            -              257            
Grady               332            -              405            -              
Graeme              987            -              -              -              
Graham              215            -              155            -              
Grant               163            -              220            -              
Graysen             971            -              -              -              
Grayson             85             -              37             -              
Gregory             287            -              496            -              
Greta               -              643            -              858            
Grey                -              -              758            -              
Greyson             174            -              95             -              
Griffin             220            -              230            -              
Guadalupe           -              391            -              -              
Guillermo           617            -              843            -              
Guinevere           -              -              -              913            
Gunnar              451            -              589            -              
Gunner              293            -              387            -              
Gustavo             408            -              636            -              
Gwen                -              -              -              850            
Gwendolyn           -              514            -              389            
Hadassah            -              832            -              615            
Hadlee              -              -              -              854            
Hadleigh            -              -              -              965            
Hadley              -              130            -              111            
Hailee              -              666            -              -              
Hailey              -              32             -              80             
Haisley             -              -              -              471            
Haleigh             -              928            -              -              
Haley               -              185            -              603            
Halle               -              635            -              708            
Hallie              -              525            -              227            
Halo                -              -              -              769            
Hamza               663            -              603            -              
Hana                -              841            -              724            
Hank                685            -              445            -              
Hanna               -              348            -              543            
Hannah              -              22             -              47             
Harlan              -              -              725            -              
Harlee              -              954            -              881            
Harlem              -              -              955            -              
Harley              632            415            927            331            
Harlow              -              578            -              261            
Harmoni             -              -              -              831            
Harmony             -              197            -              215            
Harold              836            -              925            -              
Harper              605            24             -              11             
Harrison            181            -              127            -              
Harry               718            -              695            -              
Harvey              797            -              403            -              
Hassan              861            -              779            -              
Hattie              -              709            -              411            
Haven               -              432            -              285            
Hayden              109            196            160            343            
Hayes               689            -              209            -              
Haylee              -              301            -              -              
Hayleigh            -              994            -              -              
Hayley              -              463            -              829            
Haylie              -              895            -              -              
Hazel               -              175            -              27             
Heath               863            -              861            -              
Heather             -              814            -              -              
Heaven              -              321            -              496            
Hector              267            -              354            -              
Heidi               -              334            -              370            
Helen               -              402            -              421            
Helena              -              560            -              473            
Hendrix             838            -              272            -              
Henley              -              -              -              737            
Henrik              -              -              926            -              
Henry               43             -              7              -              
Hezekiah            823            -              586            -              
Holden              296            -              283            -              
Holland             -              -              -              590            
Holly               -              424            -              459            
Hope                -              220            -              260            
Houston             941            -              694            -              
Howard              988            -              -              -              
Hudson              93             -              27             -              
Hugh                932            -              811            -              
Hugo                436            -              399            -              
Hunter              45             -              101            780            
Huxley              -              -              609            -              
Ian                 78             -              72             -              
Ibrahim             487            -              419            -              
Idris               -              -              766            -              
Ignacio             952            -              953            -              
Iker                230            -              385            -              
Ila                 -              -              -              678            
Iliana              -              700            -              870            
Imani               -              386            -              503            
Immanuel            967            -              -              -              
Imran               -              -              996            -              
Inaya               -              -              -              966            
India               -              -              -              974            
Indie               -              -              -              553            
Indigo              -              -              -              982            
Ingrid              -              908            -              -              
Ira                 -              -              844            -              
Irene               -              655            -              667            
Iris                -              282            -              84             
Isaac               30             -              42             -              
Isabel              -              134            -              156            
Isabela             -              618            -              584            
Isabella            -              3              -              6              
Isabelle            -              126            -              137            
Isai                947            -              -              -              
Isaiah              42             -              58             -              
Isaias              512            -              454            -              
Ishaan              889            -              857            -              
Isiah               775            -              -              -              
Isis                -              610            -              -              
Isla                -              230            -              36             
Ismael              382            -              312            -              
Israel              252            -              233            -              
Issac               444            -              686            -              
Itzayana            -              -              -              855            
Itzel               -              429            -              495            
Ivaan               -              -              997            -              
Ivan                113            -              159            -              
Ivanna              -              677            -              569            
Ivory               -              -              -              518            
Ivy                 -              187            -              42             
Iyla                -              -              -              679            
Izabella            -              159            -              379            
Izabelle            -              987            -              -              
Izaiah              399            -              539            -              
Izayah              855            -              -              -              
Jabari              910            -              -              -              
Jace                86             -              103            -              
Jack                46             -              15             -              
Jackson             22             -              23             -              
Jacob               1              -              32             -              
Jacoby              523            -              -              -              
Jacqueline          -              243            -              501            
Jada                -              208            -              832            
Jade                -              112            -              88             
Jaden               140            -              320            -              
Jadiel              707            -              878            -              
Jadon               731            -              -              -              
Jaeden              844            -              -              -              
Jael                989            -              -              -              
Jaelyn              -              471            -              -              
Jaelynn             -              550            -              -              
Jagger              557            -              784            -              
Jaida               -              784            -              -              
Jaiden              207            -              455            -              
Jaidyn              976            -              -              -              
Jaime               396            -              594            -              
Jairo               764            -              899            -              
Jakai               -              -              801            -              
Jakari              -              -              709            -              
Jakayla             -              930            -              -              
Jake                153            -              407            -              
Jakob               395            -              988            -              
Jalen               470            -              524            -              
Jaliyah             -              466            -              610            
Jamal               681            -              -              -              
Jamar               857            -              -              -              
Jamari              420            -              512            -              
Jamarion            651            -              -              -              
James               14             -              4              -              
Jameson             208            -              85             -              
Jamie               845            438            622            734            
Jamir               815            -              534            -              
Jamison             498            -              590            -              
Janae               -              807            -              -              
Jane                -              340            -              290            
Janelle             -              425            -              671            
Janessa             -              669            -              -              
Janiya              -              663            -              -              
Janiyah             -              436            -              893            
Jaqueline           -              902            -              -              
Jared               294            -              378            -              
Jarrett             992            -              -              -              
Jase                304            -              554            -              
Jasiah              668            -              468            -              
Jasmin              -              515            -              -              
Jasmine             -              85             -              178            
Jason               76             -              145            -              
Jasper              264            -              130            -              
Javier              211            -              239            -              
Javion              854            -              -              -              
Javon               729            -              -              -              
Jax                 305            -              273            -              
Jaxen               568            -              -              -              
Jaxon               66             -              67             -              
Jaxson              106            -              119            -              
Jaxton              510            -              475            -              
Jaxx                -              -              983            -              
Jaxxon              -              -              744            -              
Jay                 388            -              367            -              
Jayce               200            -              154            -              
Jaycee              -              547            -              -              
Jayceon             -              -              557            -              
Jaycob              885            -              -              -              
Jayda               -              357            -              830            
Jayde               -              783            -              -              
Jayden              7              380            46             -              
Jaydon              688            -              -              -              
Jayla               -              170            -              340            
Jaylah              -              459            -              937            
Jaylani             -              -              -              763            
Jaylee              -              582            -              -              
Jayleen             -              409            -              607            
Jaylen              257            -              319            -              
Jaylene             -              692            -              -              
Jaylin              778            757            -              -              
Jaylon              997            -              -              -              
